   ,日期,时间,交易量,成功率,响应时间
1,0401,0000,64,90.63%,95.84
2,0401,0001,102,99.02%,107.85
3,0401,0002,137,98.54%,93.46
4,0401,0003,112,96.43%,92.73
5,0401,0004,93,96.77%,104.78
6,0401,0005,101,99.01%,91.86
7,0401,0006,118,94.07%,104.23
8,0401,0007,99,94.95%,134
9,0401,0008,128,90.63%,92.95
10,0401,0009,101,97.03%,99.82
11,0401,0010,116,98.28%,111.85
12,0401,0011,85,92.94%,589.28
13,0401,0012,70,95.71%,103.57
14,0401,0013,118,97.46%,126.14
15,0401,0014,104,93.27%,499.76
16,0401,0015,96,97.92%,106.67
17,0401,0016,101,97.03%,118.25
18,0401,0017,120,98.33%,100.28
19,0401,0018,94,95.74%,95.87
20,0401,0019,102,94.12%,104.58
21,0401,0020,79,94.94%,628.96
22,0401,0021,104,96.15%,103.97
23,0401,0022,91,96.7%,129.24
24,0401,0023,89,95.51%,103.8
25,0401,0024,101,95.05%,117.87
26,0401,0025,97,98.97%,513.08
27,0401,0026,108,97.22%,104.46
28,0401,0027,94,96.81%,99.11
29,0401,0028,77,88.31%,127.58
30,0401,0029,80,97.5%,110.25
31,0401,0030,74,89.19%,113.45
32,0401,0031,78,96.15%,96.88
33,0401,0032,72,98.61%,99.08
34,0401,0033,72,97.22%,106.38
35,0401,0034,64,100%,111.98
36,0401,0035,79,96.2%,97.89
37,0401,0036,62,100%,102.61
38,0401,0037,51,98.04%,106.08
39,0401,0038,42,97.62%,106.17
40,0401,0039,60,96.67%,106.75
41,0401,0040,75,97.33%,100.69
42,0401,0041,65,95.38%,106.42
43,0401,0042,52,98.08%,106.46
44,0401,0043,80,92.5%,105.11
45,0401,0044,43,97.67%,109.95
46,0401,0045,58,94.83%,101.86
47,0401,0046,85,95.29%,1042.32
48,0401,0047,72,95.83%,99.82
49,0401,0048,52,94.23%,89.77
50,0401,0049,48,95.83%,941.06
51,0401,0050,85,98.82%,99.26
52,0401,0051,86,97.67%,106.16
53,0401,0052,65,96.92%,95.05
54,0401,0053,55,96.36%,98.71
55,0401,0054,41,90.24%,98.73
56,0401,0055,49,97.96%,92.92
57,0401,0056,45,95.56%,88.98
